단축코드,한글 종목명,한글 종목약명,Unnamed: 3,어제종가
88910,동우팜투테이블,동우팜투테이블,,2255.0
94170,동운아나텍,동운아나텍,,18200.0
49770,동원F&B보통주,동원F&B,,36650.0
13120,동원개발,동원개발,,2675.0
18500,동원금속보통주,동원금속,,1498.0
6040,동원산업보통주,동원산업,,33300.0
30720,동원수산보통주,동원수산,,6320.0
14825,동원시스템즈1우선주,동원시스템즈우,,23900.0
14820,동원시스템즈보통주,동원시스템즈,,45050.0
111380,동인기연보통주,동인기연,,19700.0
163560,동일고무벨트보통주,동일고무벨트,,8280.0
109860,동일금속,동일금속,,9000.0
32960,동일기연,동일기연,,11210.0
4890,동일산업보통주,동일산업,,42150.0
2690,동일제강보통주,동일제강,,1640.0
23790,동일철강,동일철강,,1218.0
5290,동진쎄미켐,동진쎄미켐,,34200.0
25900,동화기업,동화기업,,13620.0
20,동화약품보통주,동화약품,,8130.0
155,두산1우선주,두산우,,92900.0
157,두산2우선주(신형),두산2우B,,89300.0
454910,두산로보틱스보통주,두산로보틱스,,69000.0
241560,두산밥캣보통주,두산밥캣,,39650.0
150,두산보통주,두산,,149100.0
34020,두산에너빌리티보통주,두산에너빌리티,,17690.0
131970,두산테스나,두산테스나,,35900.0
33626K,두산퓨얼셀1우선주,두산퓨얼셀1우,,5990.0
33626L,두산퓨얼셀2우선주(신형),두산퓨얼셀2우B,,9830.0
336260,두산퓨얼셀보통주,두산퓨얼셀,,19530.0
16740,두올보통주,두올,,3300.0
73190,듀오백,듀오백,,2490.0
176750,듀켐바이오,듀켐바이오,,13600.0
30350,드래곤플라이,드래곤플라이,,392.0
203650,드림시큐리티,드림시큐리티,,2745.0
223250,드림씨아이에스,드림씨아이에스,,4065.0
60570,드림어스컴퍼니,드림어스컴퍼니,,2155.0
362990,드림인사이트,드림인사이트,,2255.0
192650,드림텍보통주,드림텍,,9140.0
217620,디딤이앤에프,디딤이앤에프,,381.0
16670,디모아,디모아,,6520.0
187870,디바이스이엔지,디바이스이엔지,,14160.0
456440,디비금융제11호기업인수목적,DB금융스팩11호,,2330.0
477760,디비금융제12호기업인수목적,DB금융스팩12호,,2130.0
24090,디씨엠보통주,디씨엠,,11930.0
3160,디아이보통주,디아이,,15950.0
92200,디아이씨 보통주,디아이씨,,4330.0
110990,디아이티,디아이티,,17050.0
4840,디알비동일보통주,DRB동일,,5050.0
263690,디알젬,디알젬,,7930.0
214680,디알텍,디알텍,,3595.0
347850,디앤디파마텍,디앤디파마텍,,32100.0
377190,디앤디플랫폼리츠보통주,디앤디플랫폼리츠,,3600.0
263720,디앤씨미디어,디앤씨미디어,,22600.0
376300,디어유,디어유,,23550.0
241520,디에스씨인베스트먼트,DSC인베스트먼트,,2965.0
109740,디에스케이,디에스케이,,6160.0
290120,디에이치오토리드,DH오토리드,,2745.0
25440,디에이치오토웨어,DH오토웨어,,374.0
196490,디에이테크놀로지,디에이테크놀로지,,203.0
66900,디에이피,디에이피,,2685.0
180400,디엑스앤브이엑스,DXVX,,3000.0
127120,디엔에이링크,디엔에이링크,,3630.0
92070,디엔에프,디엔에프,,14800.0
7340,디엔오토모티브보통주,DN오토모티브,,89200.0
68790,디엠에스,DMS,,5420.0
39840,디오,디오,,18570.0
219550,디와이디,디와이디,,561.0
13570,디와이보통주,디와이,,5130.0
310870,디와이씨,디와이씨,,1250.0
210540,디와이파워보통주,디와이파워,,13240.0
104460,디와이피엔에프,디와이피엔에프,,12680.0
79810,디이엔티,디이엔티,,8410.0
113810,디젠스,디젠스,,869.0
43360,디지아이,디지아이,,2220.0
197140,디지캡,디지캡,,3300.0
68930,디지털대성,디지털대성,,6850.0
33130,디지틀조선일보,디지틀조선,,1670.0
60900,디지피,DGP,,1461.0
105740,디케이락,디케이락,,8750.0
263020,디케이앤디,디케이앤디,,3095.0
290550,디케이티,디케이티,,11130.0
66670,디티씨,디티씨,,3795.0
187220,디티앤씨,디티앤씨,,3705.0
